Param_A,Param_B,N,Spearman_rho,p_hodnota,p_FDR
Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,Quickov test: PT_INR,1560,0.286,1.2018993739793944e-30,2.292993009877205e-29
AST_S,Kalcium ionizované_S,282,-0.286,1.0498581351203644e-06,6.444201673835435e-06
CRP_S,Meď_S,116,0.286,0.001891376847842791,0.00713110807973012
"ELFO_S: beta1,2_globulín",Močový sediment A: Kryštály,37,0.286,0.08653857343794638,0.18680922767627367
AST_S,GF(S)-Cockroft,37,0.286,0.08661476650386403,0.1869101941572854
Cholest-celk._S,Transferín_S,168,0.286,0.00016997634811461752,0.0007791195812208984
Pomoc.TLy_CD4+_a.p,NKbb._CD16+CD56+_ap,354,0.286,4.365285502211306e-08,3.030891671644637e-07
Urea_S,ABR_artéria: BE_B,130,-0.285,0.0010223258905812953,0.004066898173364414
Addisov sediment: Erytrocyty,FE_Chloridov,36,-0.285,0.09206753058897181,0.19601374726264675
Addisov sediment: Leukocyty,FE_Chloridov,36,-0.285,0.09239886008710853,0.19632440071351187
Chloridy-S,Močový sediment A: Kvasinky,126,-0.285,0.0012129147018974415,0.0047477800992941745
Krvný obraz: Hematokrit_HCT,APTT: APTT_ratio,1487,-0.285,3.497218003850779e-29,6.439949558975072e-28
p-ANCA,LC1,69,0.285,0.01742088980821566,0.04985356439260995
Chloridy-S,NVK_S,119,0.285,0.0017005021727661634,0.006476137259798624
Krvný obraz_RET: Leukocyty_WBC,Krvný obraz_RET: Retikulocyty_#,34,0.285,0.1021282244385787,0.2119636098850998
DGP IgG,anti transglutam.IgA,30,0.284,0.1284093112613984,0.25423240993079793
Fosfor_S,Addisov sediment: Valce,45,-0.284,0.05835378212812892,0.13644518875966252
GMT_S,Kys. močová_S,1305,0.284,1.1791837934349615e-25,1.9508736040865392e-24
Fosfor_U (zbieraný),FE_ Kália,50,-0.284,0.045401454922248355,0.11089405733219677
Urea_S,ABR_artéria: HCO3_B - akt.,130,-0.284,0.0010362527908149293,0.004119720888640329
Glukóza_ S,Krvný obr._DIFF_5pop: Neutrofily_%,34,0.284,0.10350577263932613,0.214192890416169
Bili-priamy_S,Kalcium-S,1559,-0.284,2.458567259882235e-30,4.6348005347275483e-29
ALP_S,Proteinúria kvant._U,31,0.283,0.12235255668504672,0.24458961378857827
GMT_S,Foláty,232,-0.283,1.2228762344742733e-05,6.657183134203135e-05
Addisov sediment: Erytrocyty,FE_ Kalcia,36,-0.283,0.09452447930215582,0.1997053598292637
ELFO_S: Albumín,Feritin_S,372,-0.283,2.87365523130472e-08,2.0338611833117654e-07
Kálium_U (zbieraný),GF(S+U)-deti,48,0.283,0.05123673655516318,0.1225092161591839
GMT_S,Krvný obr._DIFF_5pop: Erytrocyty_RBC,30,-0.283,0.1299330460746977,0.2561963506246289
Horčík-S,Močový sediment A: Spermie,61,0.283,0.02729374876539037,0.07236944319971829
GF(S)-Schwarz,FE_Chloridov,48,-0.283,0.05088557280088503,0.12194494304187951
Kálium-S,NVK_S,116,0.283,0.0020877256923263234,0.00777907408994084
Osmolalita_U (jednor,FE_H2O,42,-0.283,0.0696292710260946,0.1564749765931302
Quickov test: PT_INR,Fibrinogén,3412,-0.283,5.892570788565656e-64,2.0235406605274384e-62
B Ly _CD19+_ a.p.,NKbb._CD16+CD56+_ap,354,0.283,5.8824140970378265e-08,4.035742630505541e-07
Krvný obr._DIFF_5pop: Hemoglobín_HGB,Factor V,45,0.283,0.05935428199570788,0.13822498296141209
IgM_S,Amoniak_B,84,0.283,0.009070867676221244,0.02833196772223872
GF(S)- MDRD,Krvný obr._DIFF_5pop: Eozinofily_#,41,-0.282,0.07420763072128801,0.16449444451233172
Kálium-S,FE_Chloridov,50,0.282,0.04718757022509135,0.11459580796636291
Proteinúria kvant._U,Osmolalita_U (jednor,43,0.282,0.06723691084648502,0.15233812218534926
Tub. resorbcia,Osmolalita_U (jednor,43,0.282,0.06666905174770578,0.15164643242147327
Bili-priamy_S,ABR_artéria: pH_B,93,-0.282,0.006250993257958081,0.020459845526948836
Proteinúria kvant._U,FE_ Kália,50,-0.282,0.04698329619931981,0.11418702400699264
AST_S,Močový sediment: Valce,62,0.281,0.02703722550591083,0.07183918596363509
Kalcium-S,Amoniak_B,246,-0.28,8.530640931746036e-06,4.729071713733208e-05
Reumat. faktor_S,Kalcium ionizované_S,131,-0.28,0.0011786523551121201,0.004625063874013156
Osmolalita_U (jednor,GF(S)-Schwarz,41,-0.28,0.07652731603511956,0.1686946699413999
anti TPO_S,anti TG II,68,0.28,0.02094873663472463,0.0579648622998282
ALT_S,Lipáza_S,369,0.28,4.6448913315123914e-08,3.2215059638753515e-07
Amyláza_S,Močový sediment A: Erytrocyty,44,-0.28,0.0652156301317924,0.14887348121713154
Krvný obr._DIFF_RET: Retikulocyty_%,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,297,0.28,9.31754141521646e-07,5.747023360278657e-06
Nátrium-S,GF(S)-Schwarz,49,-0.28,0.051425755490320996,0.1228342149223954
anti- transglut. IgA,DGP IgG,80,0.28,0.012040278219240003,0.036217749775961997
Krvný obr._DIFF_5pop: Erytrocyty_RBC,Krvný obr._DIFF_5pop: Lymfocyty_#,5477,0.279,3.689411330044668e-98,1.775668953013165e-96
Krvný obr._DIFF_5pop: Erytrocyty_RBC,Krvný obr._DIFF_5pop: Lymfocyty_%,5477,0.279,3.081429551824205e-98,1.505870918672244e-96
CA 19-9_S,CA 125_S,64,0.279,0.025529547636452623,0.06843426841113229
Addisov sediment: Leukocyty,FE_ Nátria,36,-0.279,0.0998812556698397,0.20886952510549425
Cholest-celk._S,T4f_S,162,-0.279,0.00032949956449609215,0.001447656108743896
AST_S,ABR_artéria: HCO3_B -  stand.,101,-0.279,0.004751395549621726,0.016116185759074652
Quickov test: PT_INR,Krvný obr._DIFF_RET: Erytrocyty_RBC,106,-0.279,0.0037808272781205796,0.013096835167884428
TSH_S,Meď_S,43,0.279,0.0695444203136951,0.1563949388505858
ELFO_S: gama_globulín,Vitamín B12,175,0.279,0.0001853471868529233,0.000845912843445849
Imunoblot ANA: Rib-PO,SLA a LP,135,0.278,0.0010966524479061913,0.004330039155716615
Krvný obraz: Hematokrit_HCT,APTT: APTT_sekundy,1487,-0.278,7.592733401776582e-28,1.3473920475275594e-26
Bili-priamy_S,CA 19-9_S,32,0.278,0.12385210891117918,0.24688812297230037
APTT: APTT_ratio,Fibrinogén,3381,-0.278,7.52454281389937e-61,2.5292815077620477e-59
Fosfor_S,FE_ Kalcia,50,-0.278,0.05088264734044324,0.12194494304187951
GF(S)- MDRD,Fosfor_S,513,-0.278,1.393174242160505e-10,1.1661180448545045e-09
IgA_S,Močový sediment A: Kryštály,38,0.278,0.09087294308051079,0.19412098432766814
Nátrium-S,alfa1 AT_S,237,-0.278,1.450407706041737e-05,7.802235526234678e-05
Kreatinín_S,Krvný obr._DIFF_5pop: Eozinofily_%,48,0.277,0.05648224668071836,0.13304846613370552
ALP_S,ABR_artéria: PCO2_B,30,0.277,0.13822270403830889,0.26948512043870976
ANA,Imunoblot ANA: SS-A/Ro60kD,341,0.277,1.928054625995929e-07,1.2653854379082787e-06
ASLO_S,Močový sediment A: Leukocyty,45,-0.277,0.06579933098700329,0.1500442030726604
Fibrinogén,D_dimer INOV,279,0.277,2.5369086005595407e-06,1.4964698550932926e-05
Chloridy-S,ABR_artéria: BB_B,167,0.277,0.00029448213416819456,0.001304633890077085
AST_S,ABR_artéria: BB_B,101,-0.277,0.005089750478037501,0.01713576300316494
Glukóza_ S,Prokalcitonín_S,727,0.277,2.568566067620417e-14,2.6576710468391706e-13
IgG_S,anti TG_S,46,-0.277,0.06280952524492373,0.14462809491881132
Fosfor_S,FE_Chloridov,50,-0.277,0.05131418815368953,0.12264824580150097
Krvný obr._DIFF_5pop: Lymfocyty_%,Antitrombín III,81,0.277,0.012369850879384237,0.037016327195821035
Kreatinín_S,Krvný obr._DIFF_5pop: Leukocyty_WBC,48,-0.276,0.05738529820660888,0.13472608998765195
Quickov test: PT_%,Fibrinogén,3414,0.276,1.4946926876926554e-60,4.9977803394270735e-59
CRP_S,Tub. resorbcia,36,-0.276,0.10347278847062989,0.214192890416169
Krvný obr._DIFF_RET: Retikulocyty_%,Krvný obr._DIFF_RET: Hematokrit_HCT,299,-0.276,1.311569673824046e-06,7.958359252917063e-06
c-ANCA,dsDNA IgG,224,0.276,2.7867579794892448e-05,0.00014382025543212975
Krvný obr._DIFF_5pop: Hemoglobín_HGB,Krvný obr._DIFF_5pop: Stredná konc._HGB,5478,0.276,2.5143293658872937e-96,1.2010176286828553e-94
Amoniak_B,Haptoglobín_S,67,-0.276,0.023741076278701086,0.06429115839667007
Imunoblot ANA: U1-sn RNP,Imunoblot ANA: Rib-PO,419,0.276,9.422562843879376e-09,6.912418215608046e-08
AST_S,ABR_artéria: BE_B,101,-0.276,0.0051418696183195035,0.017274615380848127
CK-celková_S,Kalcium ionizované_S,64,-0.276,0.02753380719984105,0.07285392633927121
Fosfor_U (zbieraný),FE_ Nátria,50,-0.275,0.05324371402901549,0.12654594658673227
Krvný obr._DIFF_5pop: Erytrocyty_RBC,Krvný obr._DIFF_5pop: Stredná konc._HGB,5478,-0.275,1.5972020747032977e-95,7.516314652288927e-94
Krvný obr._DIFF_RET: Retikulocyty_#,Krvný obr._DIFF_RET: Neutrofily_#,298,0.275,1.3905292914129444e-06,8.40535926579109e-06
Krvný obr._DIFF_5pop: Bazofilily_#,Krvný obr._DIFF_5pop: Neutrofily_%,5473,-0.275,1.0115978447890488e-95,4.796030677570766e-94
Bili-priamy_S,Kalcium ionizované_S,254,-0.275,8.388843103673024e-06,4.654525784946264e-05
Krvný obr._DIFF_RET: Stredná konc._HGB,Krvný obr._DIFF_RET: Leukocyty_WBC,299,-0.275,1.3602528869241948e-06,8.238023441972745e-06
ALT_S,Prokalcitonín_S,749,0.274,2.0648591163067357e-14,2.1469803544839103e-13
ELFO_S: gama_globulín,Močový sediment A: Spermie,39,-0.274,0.0915608117444835,0.1951020484131518
c-ANCA,SLA a LP,73,0.274,0.01891934834941452,0.053348699540093414
GF(S)- MDRD,Krvný obr._DIFF_5pop: Neutrofily_#,41,0.274,0.08287971304461407,0.18075345587793792
IgG_S,Močový sediment A: Spermie,39,-0.274,0.09157788578120866,0.1951020484131518
ELFO_S: gama_globulín,Močový sediment A: Hyalínové valce,39,-0.274,0.0915608117444835,0.1951020484131518
IgG_S,Močový sediment A: Hyalínové valce,39,-0.274,0.09157788578120866,0.1951020484131518
CRP_S,Krvný obraz: Leukocyty_WBC,47,0.274,0.06264597583128778,0.14435614234899213
Cholest-celk._S,T3f_S,104,0.274,0.004840788669731843,0.016332198841639087
ELFO_S: Albumín,Močový sediment A: Hyalínové valce,39,-0.274,0.09157788578120866,0.1951020484131518
ELFO_S: Albumín,Močový sediment A: Spermie,39,-0.274,0.09157788578120866,0.1951020484131518
Fosfor_S,GF-rozdiel,32,-0.274,0.12881738089624659,0.25470800523929493
c-ANCA,DNP / Nucleo-h /,105,0.273,0.004780511328047447,0.016197647182445565
Urea_S,Laktát_P_artéria,80,-0.273,0.014309669552132425,0.04214618945975767
Nátrium_U (zbieraný),Addisov sediment: Leukocyty,37,0.273,0.10145765475045081,0.21112364252525842
C4_S,Saturácia Trf,102,-0.273,0.0055047337620239695,0.018328916975963457
ALT_S,Cholinesteráza_S,122,0.273,0.0023245860267887965,0.008536471114560245
CRP_S,Cholest-celk._S,678,-0.273,4.921418724978952e-13,4.751637258326943e-12
Imunoblot ANA: dsDNA,AMAM2,144,0.272,0.0009755015045812127,0.003905079432012882
Kys. močová_S,NT-proBNP,61,0.272,0.03383098236383541,0.08678854737878504
Krvný obraz_RET: Stredný objem_RBC,Krvný obraz_RET: Hematokrit_HCT,34,-0.272,0.11937893542527271,0.2397011304540953
Albumín_S,Močový sediment A: Erytrocyty,106,-0.272,0.004721971693628327,0.016033504099209384
C3_S,Vitamín B12,127,-0.272,0.001986862444884701,0.0074381479742796144
ALT_S,ABR_kapilára: pH_B,31,-0.272,0.13918520530835596,0.2708249951987704
Leukocyty,B Ly_ CD19+,354,0.272,2.0531067018316283e-07,1.3405330808567663e-06
Krvný obraz_RET: Stredná konc._HGB,Krvný obraz_RET: Stredný objem_PLT,30,0.272,0.1465689953424321,0.2819201986668944
Urea_S,ABR_kapilára: BB_B,34,-0.271,0.12058063940685736,0.24157956548463097
Transferín_S,Solub.transf.recep_S,30,0.271,0.1479384847593333,0.2835152922099682
Amyláza_S,Močový sediment A: Baktérie,44,-0.271,0.07527300319180853,0.16641934981060608
ABR_kapilára: O2_B sat,ABR_kapilára: pH_B,102,0.271,0.005932522011761152,0.01956869799621942
AST_S,CEA _S,57,0.271,0.041092784697528036,0.10209716901970889
C3_S,Močový sediment A: Hlienové vlákna,36,0.271,0.10996017714084762,0.2245506285360993
Fosfor_U (zbieraný),FE_Chloridov,50,-0.271,0.05659828639723367,0.13322301351671934
Horčík-S,FE_Horčíka,50,-0.271,0.0574208148588132,0.1347596737340378
Krvný obraz: Stredná konc._ HGB,Quickov test: PT_INR,1493,0.27,2.3906357771325574e-26,4.0285700509610443e-25
Amoniak_B,Vitamín B12,115,0.27,0.003457862783884686,0.012136907329292491
Krvný obraz: Trombocyty_PLT,APTT: APTT_sekundy,1487,-0.27,2.5420380839060962e-26,4.272372472765986e-25
Železo_S,Cholinesteráza_S,102,0.27,0.006100561822196148,0.020060491333546652
Triacylglyceroly_S,Vitamin D total,42,-0.27,0.08389107284055126,0.1825205430671309
p-ANCA,Imunoblot Liver Pro: LC1,90,0.269,0.010234626480938007,0.031456498322883
C4_S,Močový sediment A: Spermie,36,0.269,0.11283847096282071,0.22881034344934567
T Ly_CD3+,T Ly_CD3+_ a.p.,359,0.269,2.305472440499416e-07,1.5022221963582348e-06
C4_S,Močový sediment A: Hyalínové valce,36,0.269,0.11283847096282071,0.22881034344934567
Krvný obr._DIFF_5pop: Monocyty_%,Diff.rozpočet_ WBC: Neutrofil.nesegmenty,128,0.269,0.0021518228104867127,0.007989789780842832
GMT_S,"ELFO_S: beta1,2_globulín",1153,0.269,1.4057123158933026e-20,1.9934130229620873e-19
Imunoblot ANA: SS-A/Ro60kD,Imunoblot Liver Pro: Sp100,164,0.269,0.0004979550685303138,0.0021303087881300226
Kreatinín_S,GF-rozdiel,74,-0.269,0.02057838412015225,0.057039473959566864
Kálium_U (zbieraný),Osmolalita_U (jednor,43,0.269,0.08155040439925845,0.1781601510139233
ELFO_S: gama_globulín,anti TG_S,46,-0.269,0.07029159370014924,0.15757026138368743
GMT_S,Moč chemický A: UBG,128,0.269,0.0021136905715779205,0.00785738806391722
IgM_S,Močový sediment A: Leukocyty,39,0.268,0.0988455904611682,0.20711280877302163
AST_S,Krvný obraz: Stred. far.konc._HGB,30,0.268,0.1522465514868359,0.28967425624314724
T Ly_CD3+,Pomoc.TLy_CD4+_a.p,355,0.268,2.8264612669845483e-07,1.8267048249392508e-06
NVK_S,Haptoglobín_S,55,0.268,0.04749272317500269,0.11508442011249968
Addisov sediment: Erytrocyty,Horčík_U (zbieraný),37,0.268,0.10880621010138691,0.22291062649922963
CK-celková_S,Cholest-celk._S,352,0.268,3.258978072605271e-07,2.0934567942630216e-06
Albumín_S,Močový sediment: Valce,46,-0.267,0.07311649963132294,0.1625863220713317
Cholest-LDL_S,T3f_S,93,0.267,0.009679782613141251,0.029954047219330912
Transferín_S,Vitamin D total,44,-0.267,0.07919459672690947,0.17361051518497442
Albumín_S,Močový sediment A: Baktérie,104,-0.267,0.006114990522035731,0.020097534809360062
Kreatinín_S,Moč chemický A: pH,157,-0.267,0.0007364901723786721,0.003034320405396695
Močový sediment A: Zhluky leukocytov,Močový sediment A: Erytrocyty,474,0.267,3.5057812674350183e-09,2.6577838176628484e-08
Kalcium-S,Reumat. faktor_S,325,-0.267,1.0685068124022949e-06,6.546021002113577e-06
Bili-celkový_S,CIK_S,35,0.267,0.12073874770803628,0.24182007067753925
Krvný obraz: Stredná konc._ HGB,Quickov test: PT_%,1495,-0.266,1.2164819759633599e-25,2.007353245011747e-24
Bili-priamy_S,Proteinúria kvant._U,30,-0.266,0.15478644894690896,0.29362744406082786
Triacylglyceroly_S,Meď_S,60,0.266,0.040261824262029955,0.10040039886913486
Krvný obr._DIFF_5pop: Erytrocyty_RBC,Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,5474,-0.266,1.9977959089322368e-89,9.130933388091007e-88
Krvný obr._DIFF_RET: Bazofily_#,Krvný obr._DIFF_RET: Retikulocyty_#,299,0.266,3.1906431116532977e-06,1.8716671919052077e-05
Imunoblot Liver Pro: LKM1,Imunoblot Liver Pro: AMA-M2,188,0.266,0.00022586383034135733,0.0010176687334458462
Bili-priamy_S,Cholest-celk._S,830,-0.266,6.908284947356401e-15,7.339186332868765e-14
"ELFO_S: beta1,2_globulín",AFP_S,51,-0.266,0.05932410531539896,0.1382053689287604
Nátrium-S,Krvný obraz: Stred. far.konc._HGB,50,-0.265,0.06255524266363317,0.14425170840002233
Železo_S,Cholest-LDL_S,202,0.265,0.00014232127481819657,0.000663852466167403
Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,D_dimer INOV,208,0.265,0.00010785804308721072,0.0005110082170264786
ELFO_S: alfa2_globulín,Močový sediment A: Leukocyty,39,0.265,0.10253370735519118,0.2127356769521651
Imunoblot ANA: Mi-2,Imunoblot ANA: Histones,419,0.265,3.484119516560031e-08,2.443113828775483e-07
ALT_S,Krvný obraz: Stredný objem_PLT,30,0.264,0.15911450056391657,0.29998758547865684
Bili-celkový_S,IgG_S,525,0.264,7.621894172747283e-10,6.067906476123244e-09
Glukóza_ S,Feritin_S,763,0.264,1.1803224564273566e-13,1.182742675975236e-12
GF(S)- MDRD,Močový sediment A: Spermie,128,-0.264,0.00257511359049913,0.009357991653936075
AST_S,CA 19-9_S,49,0.264,0.06702355985634699,0.1520173779962058
Kreatinín_U (zbier.),GF(S)-Schwarz,49,-0.264,0.0664924392092482,0.15129887761330726
Krvný obraz: Stredný objem_RBC,APTT: APTT_ratio,1487,0.264,4.576823524639877e-25,7.436460320214102e-24
Krvný obraz_RET: Trombocyty_PLT,Krvný obraz_RET: Stredný objem_PLT,30,-0.264,0.15826741707688496,0.29889206322516354
Kálium-S,Etanol v sére,145,-0.263,0.0013651415270983923,0.005272184876386679
B Ly _CD19+_ a.p.,NKbb._ CD16+CD56+,354,-0.263,5.1982643797131e-07,3.276247381380687e-06
IgG_S,CVK_S,97,-0.263,0.009241447595691767,0.028765760203542278
FE_ Nátria,GF(S)-Shull,48,-0.263,0.07054355535256435,0.15791515403623724
Fosfor_S,Addisov sediment: Leukocyty,45,-0.263,0.08073434722178681,0.17662028508953567
Amyláza_S,Etanol v sére,74,0.263,0.023832967404105922,0.06434799911529321
ALP_S,HBDH_S,59,0.263,0.04437981005842529,0.10890109436121123
APTT: APTT_ratio,Diff.rozpočet_ WBC: Neutrofil.nesegmenty,32,-0.263,0.14630396095745382,0.28181476271535455
ALT_S,ABR_artéria: PCO2_B,84,-0.263,0.01584280143538216,0.04606376087825303
Elementy_CSF: Ly_CSF,CB_CSF,72,0.262,0.02599569973610674,0.06942021035035145
C4_S,Cholest-celk._S,206,0.262,0.0001382265401565362,0.0006466518480224407
c-ANCA,ASCA IgG,110,0.262,0.005717943525039039,0.018919841257590112
Horčík_U (zbieraný),Osmolalita_U (jednor,43,0.262,0.09003096978515497,0.19277612101283773
GF(S)- MDRD,Prokalcitonín_S,830,-0.262,1.875323169102819e-14,1.956310031742235e-13
Meď_S,AFP_S,40,-0.262,0.10204032914317483,0.2119636098850998
Krvný obr._DIFF_5pop: Trombocyty_PLT,Krvný obr._DIFF_5pop: Monocyty_#,5475,0.262,1.9885107012308655e-86,8.896484848534992e-85
Albumín_S,anti TG II,36,-0.262,0.1227008514090288,0.24497753268433686
Krvný obr._DIFF_5pop: Stredný objem_PLT,Fibrinogén,1471,-0.262,1.4951314111545102e-24,2.3986287512789403e-23
Imunoblot ANA: Mi-2,LC1,112,0.262,0.005249120132392477,0.017610996241098163
Albumín_S,Kreatinín_U (zbier.),43,0.262,0.08928711178468017,0.19157076027290545
Bielkoviny_S,Močový sediment A: Leukocyty,99,-0.261,0.008969317255072783,0.028069986463781966
Moč chemicky _ úplne: Ketolátky,Beta2 mikroglob. _S,35,-0.261,0.13053348691896907,0.2571408503554141
ASLO_S,Močový sediment A: Spermie,45,-0.261,0.0829667156017884,0.18081905462029557
Urea_S,HBDH_S,105,0.261,0.007256905402907078,0.02329616979518376
Fosfor_S,GF-(S+U)-dospelí,32,-0.261,0.14921065055950272,0.28569477486573863
Krvný obraz: Stredná konc._ HGB,APTT: APTT_ratio,1487,0.261,1.147383697695254e-24,1.854863679600409e-23
Krvný obr._DIFF_5pop: Eozinofily_%,Diff.rozpočet_ WBC: Neutrofilné segmenty,206,-0.261,0.0001519806923920354,0.000703741500558747
Prokalcitonín_S,Močový sediment A: Leukocyty,31,0.261,0.15676024310733594,0.29657469459824454
Chloridy-S,Krvný obraz: Stredný objem_PLT,48,-0.261,0.07307863183238687,0.16255901541707066
Krvný obraz: Šírka dist.kriv._RBC,Trombínový čas,71,0.261,0.028095354793174272,0.07413199767562069
Leukocyty,Cyt.TLy_CD8+_a.p,353,0.261,6.730447186199197e-07,4.200248622192878e-06
Krvný obraz: Hemoglobín_HGB,APTT: APTT_sekundy,1487,-0.261,1.4232646961739715e-24,2.2949240139069137e-23
Kálium-S,Foláty,230,0.261,6.016233055445379e-05,0.0002960583160437219
Addisov sediment: Erytrocyty,FE_Fosforu,36,-0.26,0.1261478674212072,0.25052122592276627
ABR_kapilára: PCO2_B,ABR_kapilára: O2_B sat,102,-0.26,0.00821113400566826,0.02597875216036377
ELFO_S: alfa2_globulín,Triacylglyceroly_S,267,0.26,1.737774126167808e-05,9.229225632149925e-05
CRP_S,anti TPO_S,125,-0.26,0.0033937034180738113,0.011931487446055851
LKM1,LC1,122,0.26,0.003826278172290044,0.01323983944910602
Kalcium-S,anti TG_S,77,-0.26,0.022625895380191923,0.06190452771333303
Fosfor_S,Transferín_S,72,0.26,0.027432269412787147,0.07264577222986109
Krvný obr._DIFF_5pop: Stredná konc._HGB,Factor V,45,-0.26,0.08511728056385827,0.1846093074047905
Bili-priamy_S,Transferín_S,536,-0.26,1.0556854842662897e-09,8.269753244813487e-09
ASLO_S,anti TG_S,45,-0.26,0.0846556704479137,0.18378396123894752
ALT_S,Krvný obraz: Erytrocyty_RBC,30,0.26,0.16533666930515212,0.3093003121600799
Bielkoviny_S,Cholest-LDL_S,500,0.259,4.134042925677395e-09,3.108115349920531e-08
Nátrium-S,Krvný obraz: Stredný objem_PLT,49,-0.259,0.07260434881702636,0.16173051473862848
Cholest-LDL_S,Kalcium ionizované_S,41,0.259,0.10194121815402543,0.2119636098850998
LD_S,Interleukín -6,59,0.259,0.047756766592328914,0.11558047168040593
Horčík-S,Kalcium ionizované_S,219,-0.259,0.00010786431906697747,0.0005110082170264786
Kreatinín_S,ABR_artéria: O2_B sat,130,0.259,0.0028887193488221752,0.010346598428519316
Krvný obr._DIFF_5pop: Eozinofily_%,Diff.rozpočet_ WBC: Lymfocyty,207,0.259,0.00016368344371395682,0.0007535368970396867
Krvný obraz: Šírka dist.kriv._RBC,Fibrinogén,1441,-0.259,1.383828693897327e-23,2.1600647892702012e-22
TSH_S,Vitamín B12,79,0.259,0.021170888483601547,0.058477675885356795
TSH_S,NT-proBNP,49,0.258,0.07370029357028973,0.1635981708777256
LD_S,Saturácia Trf,145,0.258,0.0017480300405931229,0.006649841226280305
Krvný obr._DIFF_5pop: Trombocyty_PLT,Quickov test: PT_INR,1562,-0.258,3.943054313143718e-25,6.423134372154369e-24
Cholest-LDL_S,anti TPO_S,31,-0.258,0.1617308979326598,0.30373589764820896
