Marker,Genotyp,Lab_parameter,N,Median,Q1,Q3,Priemer,SD
HFE_H63D,hom,Feritin_S,18,232.115,86.925,476.995,505.337,717.08
HFE_H63D,wt,Feritin_S,479,229.99,78.235,541.49,615.616,2053.461
HFE_H63D,het,Horčík-S,93,0.81,0.73,0.88,0.804,0.112
HFE_H63D,wt,Horčík-S,327,0.84,0.72,0.925,0.826,0.162
HFE_H63D,het,C4_S,41,0.21,0.15,0.28,0.228,0.109
HFE_H63D,wt,C4_S,158,0.22,0.16,0.298,0.232,0.099
HFE_H63D,het,C3_S,41,1.1,0.86,1.26,1.127,0.491
HFE_H63D,wt,C3_S,157,1.09,0.87,1.35,1.138,0.413
HFE_H63D,het,Prokalcitonín_S,116,0.276,0.146,0.718,2.305,9.633
HFE_H63D,hom,Prokalcitonín_S,8,0.055,0.039,0.226,0.141,0.151
HFE_H63D,wt,Prokalcitonín_S,333,0.299,0.113,0.7,1.115,3.362
HFE_H63D,het,Cholest-celk._S,117,4.92,3.73,6.18,5.725,4.051
HFE_H63D,hom,Cholest-celk._S,7,4.5,2.89,4.895,4.003,1.094
HFE_H63D,wt,Cholest-celk._S,350,4.71,3.49,5.635,4.625,1.579
HFE_H63D,het,TSH_S,77,1.827,1.34,2.866,2.417,2.052
HFE_H63D,hom,TSH_S,12,2.912,1.914,3.767,3.855,2.895
HFE_H63D,wt,TSH_S,258,1.986,1.17,3.51,3.31,5.385
HFE_H63D,het,Triacylglyceroly_S,109,1.75,1.22,2.84,5.057,16.504
HFE_H63D,hom,Triacylglyceroly_S,6,1.07,0.79,1.35,1.05,0.336
HFE_H63D,wt,Triacylglyceroly_S,324,1.58,1.078,2.592,2.27,2.219
HFE_H63D,het,Fosfor_S,67,1.0,0.865,1.125,1.016,0.36
HFE_H63D,wt,Fosfor_S,247,1.09,0.89,1.305,1.136,0.421
HFE_H63D,het,TPMT  Genotyp,13,1.0,1.0,1.0,1.0,0.0
HFE_H63D,wt,TPMT  Genotyp,40,1.0,1.0,1.0,1.0,0.0
HFE_H63D,het,Močový sediment: Erytrocyty,67,2026.0,0.0,2026.0,1037.06,1011.635
HFE_H63D,wt,Močový sediment: Erytrocyty,227,2026.0,31.0,2026.0,1267.846,972.628
HFE_H63D,het,Cholest-HDL_S,93,1.14,0.88,1.39,1.147,0.491
HFE_H63D,hom,Cholest-HDL_S,6,1.485,1.042,1.68,1.685,1.028
HFE_H63D,wt,Cholest-HDL_S,276,1.18,0.88,1.495,1.187,0.509
HFE_H63D,het,CK-MB_S,88,0.375,0.266,0.587,0.511,0.373
HFE_H63D,hom,CK-MB_S,11,0.335,0.258,0.944,0.75,0.769
HFE_H63D,wt,CK-MB_S,303,0.376,0.266,0.583,0.537,0.523
HFE_H63D,het,Transferín_S,118,2.3,1.625,2.8,2.206,0.83
HFE_H63D,hom,Transferín_S,9,2.5,2.3,2.9,2.656,0.394
HFE_H63D,wt,Transferín_S,382,2.4,1.7,2.9,2.305,0.812
HFE_H63D,het,Amoniak_B,181,58.0,41.0,77.0,63.773,29.926
HFE_H63D,wt,Amoniak_B,597,59.0,45.0,82.0,66.291,31.35
HFE_H63D,het,Cholest-LDL_S,91,3.11,2.245,3.99,3.378,1.913
HFE_H63D,hom,Cholest-LDL_S,6,2.205,1.792,2.655,2.128,0.775
HFE_H63D,wt,Cholest-LDL_S,285,2.83,2.09,3.65,2.941,1.193
HFE_H63D,het,T4f_S,35,14.7,11.8,17.6,14.997,3.751
HFE_H63D,wt,T4f_S,128,14.85,13.0,17.35,15.714,4.556
HFE_H63D,wt,Vitamin D total,23,18.7,12.1,23.25,18.452,7.974
HFE_H63D,het,Saturácia Trf,106,34.744,21.169,52.441,40.356,25.266
HFE_H63D,hom,Saturácia Trf,8,33.788,27.439,42.558,35.892,11.263
HFE_H63D,wt,Saturácia Trf,316,32.278,19.694,48.884,37.753,24.455
HFE_H63D,het,Moč chemický A: pH,23,6.5,5.5,7.25,6.522,1.192
HFE_H63D,wt,Moč chemický A: pH,45,5.5,5.0,6.0,5.5,0.522
HFE_H63D,het,Močový sediment A: Epitélie,23,1.0,0.0,3.5,7.391,15.317
HFE_H63D,wt,Močový sediment A: Epitélie,45,0.0,0.0,2.0,4.533,17.445
HFE_H63D,het,Moč chemický A: UBG,22,16.0,16.0,16.0,16.136,13.107
HFE_H63D,wt,Moč chemický A: UBG,45,16.0,3.2,16.0,16.84,26.284
HFE_H63D,het,Močový sediment A: Spermie,23,0.0,0.0,0.0,0.0,0.0
HFE_H63D,wt,Močový sediment A: Spermie,45,0.0,0.0,0.0,0.0,0.0
HFE_H63D,het,Moč chemický A: Špec. hmotnosť,22,1.016,1.012,1.025,1.019,0.01
HFE_H63D,wt,Moč chemický A: Špec. hmotnosť,45,1.018,1.014,1.022,1.019,0.009
HFE_H63D,het,Močový sediment A: Hlienové vlákna,23,65.0,11.0,100.0,81.043,110.669
HFE_H63D,wt,Močový sediment A: Hlienové vlákna,45,39.0,5.0,218.0,135.489,197.653
HFE_H63D,het,Vitamín B12,67,697.0,443.5,1452.5,992.731,747.436
HFE_H63D,hom,Vitamín B12,6,393.5,327.25,495.0,500.0,308.154
HFE_H63D,wt,Vitamín B12,224,664.0,365.0,1052.0,838.246,640.339
HFE_H63D,het,Močový sediment A: Hyalínové valce,23,0.0,0.0,0.0,0.0,0.0
HFE_H63D,wt,Močový sediment A: Hyalínové valce,45,0.0,0.0,0.0,0.0,0.0
HFE_H63D,het,Močový sediment A: Kvasinky,23,0.0,0.0,0.0,1.696,7.701
HFE_H63D,wt,Močový sediment A: Kvasinky,45,0.0,0.0,0.0,0.044,0.298
HFE_H63D,het,Močový sediment A: Zhluky leukocytov,23,0.0,0.0,0.0,3.0,8.78
HFE_H63D,wt,Močový sediment A: Zhluky leukocytov,44,0.0,0.0,1.0,5.841,28.274
HFE_H63D,het,Močový sediment A: Erytrocyty,23,4.0,4.0,8.0,81.087,280.128
HFE_H63D,wt,Močový sediment A: Erytrocyty,44,4.0,4.0,8.25,154.318,462.996
HFE_H63D,het,Močový sediment A: Baktérie,22,301.0,139.0,807.75,512.545,497.355
HFE_H63D,wt,Močový sediment A: Baktérie,43,302.0,140.5,948.5,651.233,728.196
HFE_H63D,het,ANA,62,0.31,0.27,0.43,0.475,0.792
HFE_H63D,wt,ANA,212,0.345,0.25,0.472,0.496,0.784
HFE_H63D,het,Močový sediment A: Leukocyty,23,9.0,3.0,27.5,42.391,83.727
HFE_H63D,wt,Močový sediment A: Leukocyty,42,5.5,3.0,29.0,95.31,235.024
HFE_H63D,het,Močový sediment A: Kryštály,23,0.0,0.0,0.0,0.696,3.125
HFE_H63D,wt,Močový sediment A: Kryštály,43,0.0,0.0,0.5,23.86,138.937
HFE_H63D,het,Foláty,65,4.7,3.0,8.7,7.025,5.708
HFE_H63D,hom,Foláty,6,15.9,11.725,22.175,15.5,8.268
HFE_H63D,wt,Foláty,222,6.4,3.525,10.45,7.953,5.571
HFE_H63D,het,T3f_S,18,3.55,3.25,4.125,3.561,0.985
HFE_H63D,wt,T3f_S,69,3.7,2.9,4.5,3.75,1.298
HFE_H63D,het,Ceruloplazmín,96,0.24,0.21,0.283,0.26,0.085
HFE_H63D,wt,Ceruloplazmín,314,0.25,0.21,0.31,0.268,0.08
